,aircraft,travellers_type,Seat_type,route,date_flown
1754,A320,Solo Leisure,Economy Class,London to Frankfurt,August 2016
1755,A321,Couple Leisure,Economy Class,London Heathrow to Bologna,July 2017
1756,Boeing 747,Couple Leisure,Economy Class,London Heathrow to New York JFK,July 2017
1757,,Business,Economy Class,London Heathrow to Berlin,July 2017
1758,A321 / Boeing 777,Couple Leisure,Business Class,Barcelona to Boston via London,July 2017
1759,A321,Solo Leisure,Economy Class,London to Madrid,July 2017
1760,A319,Business,Economy Class,London to Brussels,July 2017
1761,Boeing 747 400,Business,Business Class,London Heathrow to Accra,July 2017
1762,,Business,Economy Class,Krakow to London,May 2017
1763,Boeing 777-200,Family Leisure,Economy Class,Gatwick to Bridgetown,July 2017
1764,Boeing 777,Business,Business Class,Dubai to London,July 2017
1765,A321,Couple Leisure,Economy Class,London to Sofia,June 2017
1766,Boeing 777-200,Family Leisure,Business Class,Mauritius to Gatwick,July 2017
1767,Boeing 747,Business,Business Class,New York JFK to London Heathrow,July 2017
1768,A320,Business,Economy Class,Athens to London Heathrow,July 2017
1769,,Couple Leisure,Economy Class,Venice to Gatwick,July 2017
1770,,Couple Leisure,Economy Class,New York JFK to Manchester via Heathrow,February 2017
1771,Boeing 747-400,Solo Leisure,Economy Class,London to Boston,April 2017
1772,,Couple Leisure,Business Class,Naples to Gatwick,July 2017
1773,Boeing 777,Business,Business Class,Toronto to London Heathrow,June 2017
1774,,Solo Leisure,Economy Class,London to Montreal,June 2017
1775,A320,Couple Leisure,Business Class,Newcastle to Geneva via London,July 2017
1776,A320,Couple Leisure,Economy Class,London to Keflavik,June 2017
1777,Boeing 777,Solo Leisure,Economy Class,London to Tokyo,July 2017
1778,Boeing 777,Couple Leisure,Economy Class,Gatwick to Mauritius,June 2017
1779,Boeing 777 / A320,Couple Leisure,Premium Economy,Boston to Barcelona via London,July 2017
1780,Boeing 777-200,Family Leisure,Business Class,Gatwick to Mauritius,July 2017
1781,Boeing 767,Family Leisure,Economy Class,London Heathrow to Larnaca,June 2017
1782,,Business,Premium Economy,London to Hong Kong,June 2017
1783,,Solo Leisure,Economy Class,Belfast to Munich via Heathrow,July 2017
1784,A320,Couple Leisure,Economy Class,London Heathrow to Tallinn,July 2017
1785,,Couple Leisure,Economy Class,London to Barcelona,July 2017
1786,,Solo Leisure,Economy Class,Dubrovnik to Gatwick,June 2017
1787,Boeing 767,Couple Leisure,Economy Class,Stockholm to London Heathrow,July 2017
1788,,Solo Leisure,Economy Class,London to Dubrovnik,June 2017
1789,Boeing 747-400,Business,Business Class,Accra to London Heathrow,July 2017
1790,A321,Couple Leisure,Economy Class,London Heathrow to Stockholm,June 2017
1791,,Couple Leisure,Economy Class,Malta to Gatwick,May 2017
1792,,Couple Leisure,Economy Class,London to Zagreb,June 2017
1793,,Couple Leisure,Economy Class,Manchester to Philadelphia,June 2017
1794,Boeing 787-9,Couple Leisure,First Class,Kuala Lumpur to London,June 2017
1795,,Business,Economy Class,Frankfurt to London Heathrow,June 2017
1796,Boeing 747,Business,Business Class,Heathrow to Accra,June 2017
1797,,Couple Leisure,Business Class,London Heathrow to Seattle,June 2017
1798,A320,Solo Leisure,Economy Class,Mykonos to London,June 2017
1799,,Couple Leisure,Economy Class,Zurich to London Heathrow,June 2017
1800,Boeing 767,Couple Leisure,Economy Class,Rome to Heathrow,June 2017
1801,Boeing 787,Couple Leisure,Business Class,Chennai to London,November 2016
1802,A321,Couple Leisure,Business Class,London Gatwick to Genoa,June 2017
1803,Boeing 777,Business,Business Class,Beijing to London Heathrow,June 2017
1804,,Couple Leisure,Economy Class,Corfu to London,June 2017
1805,,Couple Leisure,Economy Class,Heathrow to Santorini,May 2017
1806,A319 / A380 / Boeing 737,Couple Leisure,Premium Economy,Leeds to Durban via London / Johannesburg,June 2017
1807,,Solo Leisure,Economy Class,London Heathrow to Dublin,June 2017
1808,,Business,Premium Economy,Bangkok to Luxembourg via London,June 2017
1809,A319,Business,Economy Class,London Heathrow to Paris Orly,June 2017
1810,,Solo Leisure,Premium Economy,New York JFK to Copenhagen via Heathrow,June 2017
1811,,Business,Economy Class,London to Hamburg,May 2017
1812,A380-800,Solo Leisure,Premium Economy,Singapore to London Heathrow,June 2017
1813,,Business,Business Class,Singapore to London,June 2017
1814,Boeing 777-200,Solo Leisure,Premium Economy,Toronto to London,May 2017
1815,A320,Business,Economy Class,Dublin to Marseille via London,June 2017
1816,A380,Business,Premium Economy,Johannesburg to London,June 2017
1817,A319,Couple Leisure,Business Class,Valencia to London Gatwick,June 2017
1818,A320 / Boeing 767,Business,Business Class,London to Edinburgh,June 2017
1819,A319,Couple Leisure,Business Class,London Gatwick to Valencia,June 2017
1820,,Solo Leisure,Economy Class,Brussels to Rome via London,June 2017
1821,Boeing 777-200,Couple Leisure,Premium Economy,Antigua to Gatwick,June 2017
1822,Boeing 767,Solo Leisure,Business Class,London Heathrow to Madrid,June 2017
1823,A319,Family Leisure,Business Class,Gatwick to Alicante,June 2017
1824,Boeing 777-200,Couple Leisure,Economy Class,Gatwick to Antigua,June 2017
1825,E190,Business,Business Class,London City to Milan,June 2017
1826,Boeing 747 & A319,Couple Leisure,Premium Economy,Boston to Geneva via Heathrow,June 2017
1827,A320,Couple Leisure,Economy Class,Gatwick to Bordeaux,January 2017
1828,Boeing 747-400,Business,Premium Economy,London to Boston,June 2017
1829,A320,Family Leisure,Economy Class,Istanbul to London,May 2017
1830,,Business,Business Class,London to Mumbai,June 2017
1831,,Business,Business Class,Dusseldorf to London City,June 2017
1832,A380,Couple Leisure,Premium Economy,London Heathrow to Sydney via Singapore,April 2017
1833,Boeing 777-300,Solo Leisure,Premium Economy,London Heathrow to Hong Kong,June 2017
1834,Boeing 747,Family Leisure,First Class,London to Dubai,May 2017
1835,A380,Business,Business Class,London to Vancouver,June 2017
1836,Boeing 787-9,Couple Leisure,Premium Economy,Tokyo to London Heathrow,June 2017
1837,Boeing 747,Family Leisure,Economy Class,Heathrow to Miami,June 2017
1838,A19,Couple Leisure,Economy Class,London Heathrow to Brussels,June 2017
1839,,Business,Economy Class,London Heathrow to Lisbon,June 2017
1840,Boeing 777,Couple Leisure,Business Class,Lima to London Gatwick,May 2017
1841,A380-800,Couple Leisure,Economy Class,London to Johannesburg,June 2017
1842,Boeing 747-400 / A320,Solo Leisure,Premium Economy,Washington to Sofia via London,May 2017
1843,,Couple Leisure,Economy Class,Edinburgh to Rome via Heathrow,June 2017
1844,Boeing 767,Couple Leisure,Business Class,Rome to London Heathrow,May 2017
1845,,Business,Economy Class,Tampa to Tirana via Gatwick,April 2017
1846,Boeing 747-400,Business,Business Class,Chicago to London Heathrow,May 2017
1847,A321,Couple Leisure,Economy Class,Gatwick to Funchal,May 2017
1848,Boeing 787-9,Couple Leisure,First Class,London Heathrow to Tokyo Narita,May 2017
1849,A320,Couple Leisure,Business Class,Luxembourg to London,May 2017
1850,,Business,Premium Economy,Geneva to Dallas via Heathrow,May 2017
1851,A319,Family Leisure,Economy Class,Heathrow to Bergen,May 2017
1852,Boeing 787-8,Business,Business Class,Seoul to London,May 2017
1853,,Business,Business Class,Los Angeles to London,May 2017
1854,,Solo Leisure,Economy Class,London Heathrow to Geneva,May 2017
1855,Boeing 777,Couple Leisure,Business Class,Gatwick to Lima,April 2017
1856,A320,Business,Business Class,London Heathrow to Santorini,May 2017
1857,A320,Solo Leisure,Economy Class,London Heathrow to Bilbao,April 2017
1858,,Couple Leisure,Economy Class,Madeira to Gatwick,May 2017
1859,,Business,Economy Class,Edinburgh to Gatwick,April 2017
1860,,Family Leisure,Economy Class,Rome to London,May 2017
1861,Boeing 787-9,Solo Leisure,Economy Class,Kuala Lumpur to London,May 2017
1862,Boeing 787,Solo Leisure,Economy Class,London to Kuala Lumpur,May 2017
1863,Boeing 747-400,Business,Business Class,London Heathrow to Miami,May 2017
1864,A321 / Boeing 777,Solo Leisure,Economy Class,Moscow to Houston via London,May 2017
1865,A319,Business,Economy Class,London to Brussels,April 2017
1866,,Solo Leisure,Economy Class,London Heathrow to Las Vegas,April 2017
1867,Boeing 747,Couple Leisure,Economy Class,London to San Francisco,May 2017
1868,,Family Leisure,Economy Class,London to Reykjavik,December 2016
1869,A321 / Boeing 777-300,Couple Leisure,Economy Class,Amsterdam to Tokyo via London,April 2017
1870,Boeing 777-200,Couple Leisure,Business Class,Antigua to Gatwick,May 2017
1871,,Business,Economy Class,London to Amsterdam,May 2017
1872,Boeing 777-200,Family Leisure,Economy Class,Orlando to Gatwick,May 2017
1873,,Business,Economy Class,London to Hong Kong,April 2017
1874,Boeing 777,Solo Leisure,Premium Economy,London to Toronto,May 2017
1875,,Business,Business Class,Mexico City to Copenhagen via London,May 2017
1876,Boeing 787,Business,Business Class,London to Santiago de Chile,May 2017
1877,A320,Business,Economy Class,Gatwick to Amsterdam,February 2017
1878,Boeing 767,Couple Leisure,Economy Class,London Heathrow to Nice,April 2017
1879,,Solo Leisure,Economy Class,Athens to London,May 2017
1880,Boeing 747-400,Couple Leisure,Economy Class,London to Cape Town,April 2017
1881,A320,Couple Leisure,Business Class,LHR to TXL,May 2017
1882,Boeing 777,Couple Leisure,Premium Economy,Rio de Janeiro to London,May 2017
1883,A320,Business,Economy Class,London to Edinburgh,May 2017
1884,,Couple Leisure,Economy Class,New York JFK to London,May 2017
1885,Boeing 777-300,Couple Leisure,Business Class,Gatwick to Antigua,April 2017
1886,A320,Business,Business Class,Berlin Tegel to London,May 2017
1887,Embraer,Solo Leisure,Economy Class,London City to Bergerac,May 2017
1888,,Business,Economy Class,"Manchester, UK to Billund, Denmark",May 2017
1889,Boeing 777 200/300,Business,Premium Economy,London Heathrow to Bangkok,April 2017
1890,,Business,Business Class,Funchal to Edinburgh via Heathrow,April 2017
1891,A380 and Boeing 747,Couple Leisure,First Class,London Heathrow to Miami,April 2017
1892,A380,Business,Economy Class,Singapore to London Heathrow,May 2017
1893,A320,Solo Leisure,Economy Class,Nice to London Heathrow,March 2017
1894,,Family Leisure,Economy Class,London to Male,March 2017
1895,,Solo Leisure,Economy Class,Rome to London Heathrow,May 2017
1896,A320,Family Leisure,Economy Class,Keflavik to London,April 2017
1897,Boeing 747-400,Couple Leisure,Premium Economy,Glasgow to Chicago via Heathrow,April 2017
1898,Boeing 777 200,Business,Business Class,Bahrain to Dublin via london,May 2017
1899,A319,Solo Leisure,Economy Class,London to Edinburgh,May 2017
1900,A320,Solo Leisure,Economy Class,London Heathrow to Vienna,April 2017
1901,Boeing 777,Couple Leisure,Economy Class,Hong Kong to London Heathrow,May 2017
1902,A320,Couple Leisure,Economy Class,London Heathrow to Budapest,April 2017
1903,Boeing 767,Solo Leisure,Economy Class,Zürich to London,April 2017
1904,,Solo Leisure,Business Class,Dublin to London,August 2016
1905,Boeing 777-200,Family Leisure,Economy Class,London Gatwick to Orlando,April 2017
1906,A321,Couple Leisure,Economy Class,Aberdeen to London,April 2017
1907,,Business,Premium Economy,London to Toronto,April 2017
1908,A380,Family Leisure,Economy Class,London to Boston,April 2017
1909,Boeing 787-8,Couple Leisure,First Class,Newark to London Heathrow,April 2017
1910,Boeing 777-200,Couple Leisure,First Class,London to Newark,April 2017
1911,A320,Couple Leisure,Business Class,Pisa to Gatwick,April 2017
1912,A380-800,Couple Leisure,Economy Class,Heathrow to San Francisco,February 2017
1913,,Couple Leisure,Economy Class,Berlin to London,April 2017
1914,A319,Couple Leisure,Business Class,Gatwick to Pisa,April 2017
1915,,Family Leisure,Economy Class,London Heathrow to Phoenix,April 2017
1916,Boeing 777,Couple Leisure,Business Class,St Lucia to Gatwick,April 2017
1917,,Couple Leisure,Business Class,London Heathrow to Bangkok,April 2017
1918,A380,Couple Leisure,Economy Class,Singapore to London Heathrow,April 2017
1919,,Business,Economy Class,London to Stockholm Arlanda,April 2017
1920,Boeing 777,Solo Leisure,Economy Class,Bangkok to London Heathrow,March 2017
1921,,Solo Leisure,Economy Class,Istanbul to London,April 2017
1922,Boeing 787-8,Business,Economy Class,London to Seoul,March 2017
1923,,Business,Economy Class,Paris to London Heathrow,April 2017
1924,A380,Couple Leisure,Premium Economy,Heathrow to San Francisco,April 2017
1925,Boeing 777-300,Business,Business Class,Buenos Aires to London,April 2017
1926,A319,Couple Leisure,Business Class,Gatwick to Pisa,April 2017
1927,,Solo Leisure,Economy Class,London to Dubai,April 2017
1928,A319,Business,Economy Class,Stuttgart to London,April 2017
1929,A319,Family Leisure,Business Class,Nice to Gatwick,March 2017
1930,Boeing 777-200ER,Solo Leisure,Business Class,London LGW to Lima,April 2017
1931,Boeing 777,Solo Leisure,Business Class,Punta Cana to Gatwick,April 2017
1932,Boeing 777-200 / 747-400,Family Leisure,Economy Class,London to Washington,April 2017
1933,Boeing 747-400,Family Leisure,Economy Class,London to New York JFK,April 2017
1934,A320,Solo Leisure,Economy Class,Malaga to Gatwick,April 2017
1935,Boeing 747-400,Couple Leisure,Economy Class,Stavanger to Las Vegas via London,April 2017
1936,,Solo Leisure,Economy Class,London to Moscow,April 2017
1937,,Business,Business Class,Copenhagen to Mexico via London,March 2017
1938,A320,Business,Economy Class,Gatwick to Rome,April 2017
1939,,Solo Leisure,Economy Class,Prague to London,April 2017
1940,A320,Business,Business Class,LHR to IST,April 2017
1941,,Solo Leisure,Economy Class,ORY to JFK via LHR,April 2017
1942,Boeing 747-400,Solo Leisure,Economy Class,Los Angeles to London Heathrow,February 2017
1943,A321,Business,Economy Class,London to Milan,April 2017
1944,,Family Leisure,Economy Class,London to Nice,April 2017
1945,,Solo Leisure,Economy Class,Baltimore to Nice via London,April 2017
1946,Boeing 777,Family Leisure,Business Class,Sofia to Boston via London,April 2017
1947,B777-300ER / A320 / A380,Couple Leisure,Business Class,Copenhagen to Hong Kong via London,March 2017
1948,,Solo Leisure,Economy Class,London to Larnaca,April 2017
1949,Boeing 777,Couple Leisure,Business Class,London Gatwick to San Jose Costa Rica,April 2017
1950,,Family Leisure,Economy Class,London Heathrow to New York JFK,April 2017
1951,,Couple Leisure,Economy Class,London to New Delhi,November 2016
1952,Boeing 747,Business,Premium Economy,San Diego to London,March 2017
1953,Boeing 777-200,Solo Leisure,Economy Class,Philadelphia to Edinburgh via Heathrow,January 2017
1954,Boeing 747-400,Business,Business Class,London Heathrow to New York JFK,March 2017
1955,,Couple Leisure,Business Class,London to Singapore,November 2016
1956,Boeing 767,Couple Leisure,Business Class,Rome to London,April 2017
1957,Boeing 787-8,Business,Economy Class,London to New Orleans,April 2017
1958,A219,Couple Leisure,Business Class,London Heathrow to Brussels,March 2017
1959,A380,Business,Business Class,Miami to London,March 2017
1960,Boeing 747,Business,Premium Economy,Cape Town to Berlin via London,January 2017
1961,A320,Couple Leisure,Economy Class,Marrakech to London Gatwick,April 2017
1962,,Solo Leisure,Economy Class,London Heathrow to Rome,April 2017
1963,A320,Business,Economy Class,London Heathrow to Munich,March 2017
1964,A320,Couple Leisure,Economy Class,Belfast to Gibraltar via Heathrow,April 2017
1965,,Couple Leisure,Business Class,Gatwick to Cancun,February 2017
1966,,Couple Leisure,Economy Class,Malaga to Gatwick,March 2017
1967,Boeing 747,Business,Economy Class,London to New York,March 2017
1968,Boeing 777,Family Leisure,Business Class,Gatwick to Grenada,March 2017
1969,A320-200,Business,Economy Class,Lisbon to London,March 2017
1970,,Family Leisure,Economy Class,Amsterdam to Cape Town via Gatwick,March 2017
1971,Boeing 747,Business,Economy Class,Miami to London,January 2017
1972,A380,Business,Economy Class,London to Los Angeles,March 2017
1973,Boeing 777,Couple Leisure,Business Class,Mauritius to Gatwick,March 2017
1974,A380,Couple Leisure,Premium Economy,London Heathrow to Hong Kong,March 2017
1975,,Business,Business Class,Frankfurt to Hong Kong via London,March 2017
1976,Boeing 777,Couple Leisure,Premium Economy,London to Nairobi,February 2017
1977,A319,Business,Economy Class,London Heathrow to Edinburgh,March 2017
1978,Boeing 777,Couple Leisure,Business Class,Toronto to Berlin via London,March 2017
1979,,Solo Leisure,Economy Class,London to Istanbul,March 2017
1980,Boeing 787-9,Couple Leisure,Economy Class,London Heathrow to Dubai,March 2017
1981,Boeing 747-400,Solo Leisure,Economy Class,London Heathrow to Johannesburg,March 2017
1982,,Solo Leisure,Economy Class,Montreal to Athens via Heathrow,January 2017
1983,A320,Solo Leisure,Business Class,London Heathrow to Innsbruck,March 2017
1984,A320,Business,Business Class,London Heathrow to Dublin,March 2017
1985,,Business,Economy Class,London to Dublin,March 2017
1986,Boeing 777,Couple Leisure,Economy Class,London to Barbados,March 2017
1987,Boeing 777,Solo Leisure,Economy Class,London Heathrow to Bangkok,February 2017
1988,Boeing 777-300,Solo Leisure,Economy Class,Beijing to London,February 2017
1989,A319,Couple Leisure,Business Class,LHR to GVA,March 2017
1990,,Couple Leisure,Economy Class,Montreal to London Heathrow,March 2017
1991,Boeing 747-400 / 777-200,Family Leisure,Economy Class,GOT to SFO/PHX via LHR,March 2017
1992,Boeing 777,Couple Leisure,Business Class,Gatwick to Mauritius,March 2017
1993,Boeing 747-400,Couple Leisure,Business Class,San Diego to London,March 2017
1994,,Couple Leisure,Economy Class,London Heathrow to Dubai,February 2017
1995,Boeing 777,Business,Business Class,Amsterdam to St Lucia via Gatwick,February 2017
1996,A321,Solo Leisure,Economy Class,London to Toulouse,March 2017
1997,A320 / Boeing 777-200,Business,Economy Class,Edinburgh to Luanda via Heathrow,March 2017
1998,,Solo Leisure,Economy Class,London to Las Vegas,March 2017
1999,Boeing 777-200,Couple Leisure,Economy Class,Gatwick to Bridgetown,February 2017
2000,,Couple Leisure,Economy Class,San Jose to Gatwick,February 2017
2001,Boeing 777,Business,Business Class,Orlando to London,March 2017
2002,Boeing 787-9,Business,Business Class,Newark to London,March 2017
2003,,Business,Premium Economy,Hyderabad to London,March 2017
2004,Boeing 747,Couple Leisure,Economy Class,London to Chicago,February 2017
2005,Boeing 747-400,Solo Leisure,Premium Economy,LHR to YVR,March 2017
2006,A320,Couple Leisure,Economy Class,London Heathrow to Gibraltar,February 2017
2007,A380/A320,Solo Leisure,Economy Class,Singapore to Venice via London,February 2017
2008,A320,Family Leisure,Economy Class,London to Marrakech,March 2017
2009,Boeing 747-400,Couple Leisure,Economy Class,Cape Town to London,March 2017
2010,Boeing 747-400 & A320/321,Solo Leisure,Premium Economy,Kuwait to Edinburgh via London,February 2017
2011,A321,Couple Leisure,Business Class,London Heathrow to Pisa,March 2017
2012,Boeing 777-200,Couple Leisure,Business Class,St Lucia to Gatwick,March 2017
2013,Boeing 747-400,Couple Leisure,Business Class,Cape Town to London,March 2017
2014,,Business,Economy Class,Tehran to Vancouver via London,March 2017
2015,,Solo Leisure,Economy Class,Malta to Gatwick,February 2017
2016,Boeing 767,Business,Economy Class,London to Larnaca,February 2017
2017,,Business,Business Class,Mumbai to Seattle via London,February 2017
2018,Boeing 747-400,Business,Premium Economy,Chicago to London,February 2017
2019,Boeing 747-400,Couple Leisure,Economy Class,Phoenix to London Heathrow,February 2017
2020,Boeing 747-400,Business,Business Class,London to Chicago O'Hare,February 2017
2021,Boeing 777,Business,Premium Economy,London to Mumbai,February 2017
2022,Boeing 777,Couple Leisure,Business Class,San Jose to London Gatwick,February 2017
2023,,Business,Economy Class,Amman to London,February 2017
2024,A380,Solo Leisure,Economy Class,London to Miami,December 2016
2025,A320,Business,Economy Class,Lisbon to London,February 2017
2026,A320,Solo Leisure,Economy Class,Berlin to London,January 2017
2027,A320,Solo Leisure,Economy Class,Istanbul to London,February 2017
2028,Boeing 777-200,Business,First Class,London Heathrow to Chicago,February 2017
2029,,Solo Leisure,Economy Class,London Heathrow to Bangkok,February 2017
2030,Boeing 777,Couple Leisure,Economy Class,Gatwick to Cape Town,February 2017
2031,Boeing 787-8 / 787-9,Solo Leisure,Premium Economy,Toronto to London,February 2017
2032,A319,Business,Economy Class,London Heathrow to Stuttgart,February 2017
2033,Boeing 747-400,Couple Leisure,Economy Class,London to Las Vegas,February 2017
2034,A320,Business,Economy Class,London Heathrow to Rome,February 2017
2035,Embraer 170,Solo Leisure,Economy Class,Edinburgh to London City,February 2017
2036,Boeing 747,Couple Leisure,Economy Class,Accra to London Heathrow,February 2017
2037,Boeing 777,Couple Leisure,Business Class,London Gatwick to Mauritius,February 2017
2038,Boeing 747-400,Solo Leisure,Economy Class,London to Vancouver,February 2017
2039,A380,Solo Leisure,Economy Class,Washington to London,February 2017
2040,Boeing 777,Business,Economy Class,Bangkok to London,January 2017
2041,Boeing 777,Business,Business Class,London to Hong Kong,February 2017
2042,A320,Business,Business Class,Paris to London,February 2017
2043,Boeing 747,Business,Premium Economy,Chicago to London Heathrow,February 2017
2044,"Boeing 767, A319",Family Leisure,Economy Class,London Heathrow to Rome,February 2017
2045,A319,Solo Leisure,Economy Class,London to Brussels,February 2017
2046,Boeing 777-200,Couple Leisure,Economy Class,Dublin to Seattle via London Heathrow,February 2017
2047,Boeing 767-300,Business,Economy Class,London Heathrow to Athens,February 2017
2048,Boeing 777,Business,Business Class,Doha to London Heathrow,February 2017
2049,,Solo Leisure,Economy Class,Orlando to London Heathrow,January 2017
2050,A319,Solo Leisure,Economy Class,LBA to LHR,February 2017
2051,,Solo Leisure,Economy Class,Vienna to Los Angeles via London,December 2016
2052,,Family Leisure,Economy Class,Heathrow to Innsbruck,February 2017
2053,A380,Business,Economy Class,Los Angeles to London,February 2017
2054,,Couple Leisure,Economy Class,Gatwick to Barcelona,January 2017
2055,,Solo Leisure,Economy Class,London to Rio de Janeiro,October 2016
2056,,Family Leisure,Economy Class,London to New York,December 2016
2057,Boeing 777,Couple Leisure,Economy Class,TPA to ATH via LGW,February 2017
2058,A380,Solo Leisure,Business Class,Hong Kong to London,January 2017
2059,A320,Business,Business Class,LHR to IST,January 2017
2060,,Solo Leisure,Business Class,London to Berlin,January 2017
2061,A320,Solo Leisure,Business Class,Gatwick to Salzburg,January 2017
2062,Boeing 777-200ER,Couple Leisure,Economy Class,Gatwick to Barbados,January 2017
2063,A320,Business,Economy Class,Bordeaux to London Gatwick,January 2017
2064,A380,Couple Leisure,Business Class,LHR to SFO,January 2017
2065,,Business,Economy Class,Aberdeen to Paris via Heathrow,January 2017
2066,A320,Solo Leisure,Economy Class,London Heathrow to Copenhagen,February 2017
2067,A380,Solo Leisure,Economy Class,LHR to IAD,January 2017
2068,Boeing 777,Solo Leisure,Business Class,LHR to HKG,January 2017
2069,Boeing 777,Couple Leisure,Economy Class,London Gatwick to Mauritius,January 2017
2070,,Couple Leisure,Economy Class,LAX to NCE via LHR,January 2017
2071,,Business,Economy Class,Zurich to London,January 2017
2072,A320,Solo Leisure,Business Class,London Gatwick to Barcelona,January 2017
2073,A320,Solo Leisure,Economy Class,SOF to LHR,January 2017
2074,A380 / Boeing 777,Solo Leisure,Premium Economy,IAD to BCN via LHR,January 2017
2075,Boeing 747,Solo Leisure,Economy Class,YVR to LHR,January 2017
2076,A320,Business,Economy Class,LHR to MXP,January 2017
2077,,Couple Leisure,Economy Class,LGW to BGI,January 2017
2078,A380,Couple Leisure,Economy Class,London to Johannesburg,September 2016
2079,A320,Business,Economy Class,London to Zurich,January 2017
2080,A321,Business,Economy Class,MAD to LHR,January 2017
2081,Boeing 777,Solo Leisure,First Class,LHR to PHL,January 2017
2082,A320,Business,Business Class,MLA to LGW,January 2017
2083,,Solo Leisure,Economy Class,London to Abuja,December 2016
2084,Boeing 747-400,Couple Leisure,First Class,LHR to CPT,January 2017
2085,,First Class,LHR to ORD,January 2017,
2086,Boeing 747 / A380,Solo Leisure,Business Class,SFO to JNB via LHR,January 2017
2087,,Couple Leisure,Economy Class,Larnaca to London Heathrow,January 2017
2088,A320,Couple Leisure,Economy Class,London to Manchester,August 2016
2089,Boeing 787,Couple Leisure,Business Class,Lisbon to San Jose via London,October 2016
2090,Boeing 747-400,Business,Premium Economy,LHR to PHX,August 2016
2091,Boeing 777,Couple Leisure,Business Class,Gatwick to Tampa,January 2017
2092,Boeing 747,Solo Leisure,Economy Class,Miami to London,January 2017
2093,Boeing 747,Business,Economy Class,LHR to DXB,January 2017
2094,,Couple Leisure,Business Class,CDG to LHR,December 2016
2095,Boeing 777,Couple Leisure,Business Class,BKK to CDG via LHR,January 2017
2096,A320,Solo Leisure,Economy Class,GLA to LGW,December 2016
2097,,Solo Leisure,Economy Class,BKK to LHR,January 2017
2098,Boeing 747-400,Couple Leisure,Business Class,LHR to CPT,January 2017
2099,Boeing 787-9,Solo Leisure,First Class,LHR to KUL,November 2016
2100,A320,Solo Leisure,Economy Class,LED to LHR,January 2017
2101,,Business,Economy Class,LGW to CUN,November 2016
2102,,Family Leisure,Premium Economy,PVG to ZRH via LHR,October 2016
2103,Boeing 777,Couple Leisure,Business Class,LGW to BGI,December 2016
2104,,Solo Leisure,Economy Class,JFK to LHR,January 2017
2105,,Solo Leisure,Economy Class,London to Frankfurt,July 2016
2106,,Business,Economy Class,ATH to LHR,January 2017
2107,A320,Couple Leisure,Economy Class,FUE to LGW,January 2017
2108,Boeing 777,Solo Leisure,Business Class,IAH to LHR,January 2017
2109,Boeing 777,Couple Leisure,Business Class,LGW to CUN,December 2016
2110,,Family Leisure,Economy Class,LHR to DFW,December 2016
2111,Boeing 777,Solo Leisure,Business Class,LHR to HKG,January 2017
2112,,Business,Economy Class,LHR to PRG,January 2017
2113,A321,Solo Leisure,Business Class,LHR to AMM,January 2017
2114,A320 / Boeing 767,Family Leisure,Economy Class,LHR to FCO,January 2017
2115,,Couple Leisure,Economy Class,London Heathrow to Miami,January 2017
2116,,Couple Leisure,Economy Class,LGW to BGI,January 2017
2117,Boeing 787,Couple Leisure,Economy Class,KUL to LHR,December 2016
2118,A320,Couple Leisure,Economy Class,ATH to LHR,January 2017
2119,,Solo Leisure,Economy Class,MAN to LAX via LHR,January 2017
2120,,Solo Leisure,Economy Class,MAN to LAS via LHR,December 2016
2121,Boeing 747,Family Leisure,Business Class,MIA to LHR,January 2017
2122,Boeing 777,Couple Leisure,Economy Class,SYD to LHR,December 2016
2123,,Couple Leisure,Business Class,CDG to BKK via LHR,December 2016
2124,Boeing 777,Couple Leisure,Business Class,LHR to HKG,January 2017
2125,Boeing 787-9,Solo Leisure,Business Class,YYZ to LHR,December 2016
2126,Boeing 777,Couple Leisure,Economy Class,LHR to LIM,December 2016
2127,,Solo Leisure,Economy Class,ATH to LHR,January 2017
2128,Boeing 747-400,Solo Leisure,Economy Class,ARN to DEN via LHR,December 2016
2129,,Solo Leisure,Economy Class,IKA to LHR,January 2017
2130,Boeing 747,Solo Leisure,Economy Class,CUN to LGW,December 2016
2131,,Couple Leisure,Economy Class,MAD to YUL via LHR,December 2016
2132,Boeing 747-400,Couple Leisure,First Class,MAN to SAN via LHR,December 2016
2133,Boeing 777-200ER,Family Leisure,Economy Class,LGW to TPA,November 2016
2134,,Family Leisure,Economy Class,DXB to LHR,December 2016
2135,A380,Solo Leisure,Premium Economy,LAX to LHR,September 2016
2136,,Couple Leisure,Economy Class,BUD to LHR,December 2016
2137,Boeing 747-400,Couple Leisure,Business Class,FRA to CPT via LHR,December 2016
2138,Boeing 787,Couple Leisure,Economy Class,BWI to LHR,December 2016
2139,,Business,Economy Class,LHR to PRG,December 2016
2140,Boeing 787,Couple Leisure,Premium Economy,BKK to LHR,December 2016
2141,,Solo Leisure,Premium Economy,DXB to YYZ via LHR,December 2016
2142,A320,Business,Economy Class,LHR to CPH,December 2016
2143,Boeing 777,Couple Leisure,Economy Class,LGW to ANU,December 2016
2144,,Business,Economy Class,KBP to BFS via LHR,December 2016
2145,Boeing 747-400,Solo Leisure,Economy Class,LHR to CPT,December 2016
2146,Boeing 777,Couple Leisure,Premium Economy,BKK to MAN via LHR,December 2016
2147,Boeing 777-200,Couple Leisure,First Class,UVF to LGW,December 2016
